code;roundTheClock;zone24;timeZone;workingHours;coordinates latitude;coordinates longitude;fullAddress;subwayStations;locationCategory;services;conditionCode
650093;False;False;0;[[28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None];55.876423;37.512348;г. Москва, ул. Новая,  9;[];Магазин;{'PAY_SERVICES': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
177561;False;False;0;[[32400000, 79200000], None, [32400000, 79200000], None, [32400000, 79200000], None, [32400000, 79200000], None, [32400000, 79200000], None, [32400000, 79200000], None, [32400000, 79200000], None];55.795823;37.513062;г. Москва, ул. Новопесчаная, д. 19к3;[['Зорге', 'КРЖ', '830'], ['Панфиловская', 'КРЖ', '880'], ['Сокол', 'ЗЕЛ', '960'], ['Октябрьское Поле', 'ФИО', '1190']];Магазин;{'PAY_SERVICES': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
60020671;False;False;0;[[28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None, [28800000, 82800000], None];55.737598;37.470209;г. Москва, ул. Филёвская М.,  14, к. 2;[['Пионерская', 'ГОЛ', '250']];Магазин;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
36204;True;True;0;[];55.804668;37.717609;г. Москва, ул. Просторная, д. 8;[['Преображенская Площадь', 'КРА', '870']];Отделение банка;{'QRCODE': True, 'PAY_CASH': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60015230;True;True;0;[];55.745863;37.496614;г. Москва, ул. Барклая, д. 16к1;[['Багратионовская', 'ГОЛ', '250']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60017250;True;True;0;[];55.851056;37.352559;г. Москва, ул. Митинская, д. 47;[['Пятницкое Шоссе', 'СИН', '420']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
11256;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [32400000, 61200000], None, None, None];55.629453;37.598308;г. Москва, ул. Чертановская,  14, к. 1;[['Южная', 'СЕР', '940']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
258191;False;False;0;[[32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None, [32400000, 82800000], None];55.894939;37.530103;г. Москва, ул. Клязьминская, д. 32;[];ТЦ;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60002750;True;True;0;[];55.861302;37.694544;г. Москва, ш. Ярославское, д. 28;[];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
985478;True;False;0;[];55.811285;37.837444;г. Москва, км МКАД 104-й,  6;[];ТЦ;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
